4,7,2018_02_01-20_24_29
38,"[[257.5, 131.0, 7, 8]]",2018_02_07-20_43_14_204607
17,"[[233.5, 135.5, 5, 9]]",2018_02_07-20_45_07_977108
107,"[[320.5, 439.0, 5, 8], [3.5, 134.0, 7, 12]]",2018_02_07-20_49_23_035776
108,"[[299.0, 450.5, 10, 11], [309.0, 437.5, 6, 5]]",2018_02_07-20_49_29_054395
109,"[[302.5, 462.0, 9, 12], [306.5, 444.0, 5, 6]]",2018_02_07-20_49_34_814901
24,"[[229.0, 131.0, 6, 10]]",2018_02_07-20_54_56_021027
25,"[[227.5, 133.0, 5, 8]]",2018_02_07-20_55_02_037090
56,"[[223.5, 135.5, 5, 9]]",2018_02_07-20_55_27_754314
0,"[[223.0, 35.5, 6, 13]]",2018_02_07-21_09_30_505031
10,"[[586.5, 41.5, 5, 5]]",2018_02_07-21_09_42_128882
3,"[[630.0, 10.0, 10, 10], [637.5, 3.0, 5, 6]]",2018_02_07-21_13_59_731067
4,"[[632.5, 5.5, 15, 9], [623.5, 2.5, 5, 5]]",2018_02_07-21_14_05_781771
5,"[[387.5, 350.0, 5, 12]]",2018_02_07-21_14_11_698222
6,"[[421.0, 462.0, 8, 6], [400.5, 462.5, 9, 11], [408.0, 458.5, 10, 9], [414.0, 451.5, 10, 9]]",2018_02_07-21_14_17_662844
15,"[[537.0, 477.5, 26, 5], [586.0, 473.5, 42, 13]]",2018_02_07-21_16_08_943649
17,"[[628.5, 475.5, 11, 9]]",2018_02_07-21_16_15_585306
18,"[[489.0, 477.0, 40, 6], [148.0, 296.5, 8, 7]]",2018_02_07-21_16_21_515629
19,"[[116.0, 403.5, 6, 9], [225.0, 362.5, 12, 13]]",2018_02_07-21_16_27_464939
23,"[[463.5, 9.5, 9, 13]]",2018_02_07-21_16_36_656139
0,"[[605.0, 5.5, 8, 5]]",2018_02_07-21_18_26_995428
9,"[[604.5, 4.0, 5, 8]]",2018_02_07-21_18_38_035563
1,"[[606.5, 7.5, 7, 9]]",2018_02_07-21_18_50_186754
16,"[[33.0, 438.0, 8, 10]]",2018_02_07-21_19_04_926122
18,"[[379.5, 465.0, 5, 6], [371.5, 462.0, 7, 8]]",2018_02_07-21_19_11_334917
19,"[[357.0, 473.0, 6, 6]]",2018_02_07-21_19_17_288019
22,"[[599.5, 2.5, 5, 5]]",2018_02_07-21_19_24_529062
14,"[[214.5, 50.0, 5, 8]]",2018_02_07-21_28_51_931029
21,"[[214.5, 51.0, 5, 10]]",2018_02_07-21_28_56_347079
25,"[[215.5, 54.0, 5, 8]]",2018_02_07-21_28_58_858499
26,"[[214.5, 50.5, 5, 7]]",2018_02_07-21_28_59_468799
28,"[[215.5, 53.5, 5, 11]]",2018_02_07-21_29_00_765697
46,"[[7.5, 475.5, 15, 9]]",2018_02_07-21_29_11_998299
47,"[[83.5, 395.0, 11, 8]]",2018_02_07-21_29_12_694060
48,"[[87.0, 374.5, 8, 9], [200.0, 317.0, 6, 10], [110.5, 317.0, 11, 10]]",2018_02_07-21_29_13_333801
49,"[[200.0, 315.0, 6, 10], [110.0, 314.0, 10, 12]]",2018_02_07-21_29_13_952618
50,"[[91.0, 326.5, 10, 5], [198.5, 312.5, 5, 13], [108.5, 310.5, 11, 11]]",2018_02_07-21_29_14_598437
51,"[[473.0, 473.5, 6, 13], [300.5, 423.5, 5, 7], [3.5, 413.5, 7, 5], [110.0, 372.0, 8, 8], [202.0, 306.0, 6, 10], [112.5, 302.5, 11, 13]]",2018_02_07-21_29_15_235799
69,"[[333.5, 470.5, 5, 7], [26.5, 204.5, 5, 5]]",2018_02_07-21_29_25_545771
70,"[[297.0, 475.5, 26, 9], [301.0, 462.5, 22, 9], [341.5, 434.5, 11, 9]]",2018_02_07-21_29_26_139414
2,"[[611.5, 23.5, 9, 5]]",2018_02_07-21_31_58_432720
5,"[[620.0, 30.5, 6, 5], [613.5, 25.5, 9, 5]]",2018_02_07-21_32_00_318611
8,"[[630.5, 29.0, 19, 12]]",2018_02_07-21_32_02_291943
9,"[[635.0, 8.5, 10, 7]]",2018_02_07-21_32_03_300248
10,"[[635.5, 10.0, 9, 8], [612.0, 6.5, 56, 13]]",2018_02_07-21_32_03_948858
13,"[[620.0, 17.5, 8, 5]]",2018_02_07-21_32_05_829369
14,"[[621.5, 17.5, 13, 11]]",2018_02_07-21_32_06_477385
18,"[[618.0, 30.5, 6, 5]]",2018_02_07-21_32_09_087335
20,"[[609.5, 24.5, 9, 9]]",2018_02_07-21_32_10_368175
22,"[[56.5, 151.5, 11, 11]]",2018_02_07-21_32_11_705903
23,"[[53.5, 151.0, 9, 10]]",2018_02_07-21_32_12_376190
27,"[[629.5, 35.5, 7, 5]]",2018_02_07-21_32_14_996319
0,"[[612.5, 21.5, 7, 7]]",2018_02_07-21_33_10_047977
1,"[[615.0, 21.5, 10, 7]]",2018_02_07-21_33_10_755538
3,"[[620.5, 31.5, 5, 5]]",2018_02_07-21_33_11_985210
4,"[[616.0, 21.5, 16, 13]]",2018_02_07-21_33_12_625675
8,"[[189.0, 10.5, 6, 13]]",2018_02_07-21_33_15_676446
9,"[[622.5, 32.0, 5, 6], [188.5, 6.5, 5, 13]]",2018_02_07-21_33_16_272062
10,"[[16.5, 401.0, 9, 10], [198.5, 41.0, 5, 12]]",2018_02_07-21_33_16_887656
14,"[[625.5, 34.5, 5, 9], [190.5, 14.0, 5, 12]]",2018_02_07-21_33_19_385943
15,"[[55.5, 156.0, 19, 12]]",2018_02_07-21_33_20_053992
17,"[[618.0, 30.5, 6, 5], [187.5, 5.0, 5, 10]]",2018_02_07-21_33_21_242853
21,"[[607.0, 24.0, 6, 6]]",2018_02_07-21_33_23_689660
26,"[[626.0, 35.0, 10, 8], [618.0, 31.0, 6, 6], [608.5, 22.5, 5, 7]]",2018_02_07-21_33_26_828919
27,"[[187.5, 6.0, 5, 12]]",2018_02_07-21_33_27_430290
31,"[[610.5, 24.5, 11, 7]]",2018_02_07-21_33_29_964534
35,"[[187.5, 5.5, 5, 11]]",2018_02_07-21_33_32_495778
36,"[[611.5, 19.5, 5, 5]]",2018_02_07-21_33_33_102067
38,"[[420.5, 470.5, 55, 13], [627.5, 33.0, 5, 6]]",2018_02_07-21_33_34_337589
39,"[[394.0, 459.5, 6, 7]]",2018_02_07-21_33_34_992399
43,"[[458.5, 406.5, 5, 7]]",2018_02_07-21_33_37_462011
44,"[[188.5, 7.5, 5, 13]]",2018_02_07-21_33_38_124840
46,"[[620.0, 33.5, 6, 5], [633.5, 31.5, 9, 5], [188.5, 9.5, 5, 13]]",2018_02_07-21_33_39_401155
48,"[[622.0, 32.0, 10, 10]]",2018_02_07-21_33_40_625813
0,"[[633.5, 24.5, 5, 5]]",2018_02_07-21_35_11_063921
2,"[[615.0, 18.5, 10, 11]]",2018_02_07-21_35_12_407847
4,"[[618.5, 26.5, 5, 5]]",2018_02_07-21_35_13_673850
5,"[[187.0, 6.0, 6, 12]]",2018_02_07-21_35_14_273411
6,"[[104.5, 44.0, 7, 6], [116.0, 38.0, 10, 8], [89.0, 19.0, 12, 6], [187.5, 7.5, 5, 11]]",2018_02_07-21_35_14_928739
8,"[[614.5, 15.0, 9, 6]]",2018_02_07-21_35_16_971431
9,"[[628.5, 31.0, 5, 6], [609.0, 21.5, 10, 7]]",2018_02_07-21_35_17_601145
10,"[[625.5, 34.5, 5, 7], [610.5, 23.0, 5, 6]]",2018_02_07-21_35_18_254573
13,"[[187.0, 6.5, 6, 13]]",2018_02_07-21_35_20_110585
14,"[[629.0, 30.5, 10, 7]]",2018_02_07-21_35_20_782932
15,"[[189.5, 12.5, 5, 9], [186.5, 3.5, 5, 7]]",2018_02_07-21_35_21_436204
17,"[[187.5, 6.5, 5, 13]]",2018_02_07-21_35_22_709931
18,"[[630.5, 28.0, 11, 8]]",2018_02_07-21_35_23_392927
21,"[[113.0, 12.5, 8, 7]]",2018_02_07-21_35_25_378251
25,"[[634.5, 25.5, 7, 7]]",2018_02_07-21_35_27_925458
